City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kaitangata,NZ,2022-01-29 15:30:53,-46.2817,169.8464,54.97,77,100,4.16
68,Buta,CD,2022-01-29 15:30:53,2.7858,24.73,90.79,21,22,2.48
69,Nikolskoye,RU,2022-01-29 15:30:53,59.7035,30.7861,26.71,93,100,8.72
70,Kaa-Khem,RU,2022-01-29 15:30:54,51.6833,94.7333,-20.94,96,26,3.22
71,Jalu,LY,2022-01-29 15:30:54,29.0331,21.5482,58.44,39,5,14.54
72,Laguna,US,2022-01-29 15:30:55,38.421,-121.4238,50.09,95,0,0.0
73,Yichang,CN,2022-01-29 15:30:55,30.7144,111.2847,38.73,88,100,0.74
74,Yulara,AU,2022-01-29 15:30:56,-25.2406,130.9889,82.24,61,96,17.27
75,Antofagasta,CL,2022-01-29 15:30:56,-23.65,-70.4,71.22,62,50,8.86
76,Mocuba,MZ,2022-01-29 15:30:57,-16.8392,36.9856,76.59,86,20,7.43
77,Nouadhibou,MR,2022-01-29 15:30:57,20.931,-17.0347,73.38,31,96,12.66
78,Yar-Sale,RU,2022-01-29 15:30:57,66.8333,70.8333,1.47,94,99,8.59
79,Port Alfred,ZA,2022-01-29 15:28:06,-33.5906,26.891,72.84,64,21,14.54
80,Cape Town,ZA,2022-01-29 15:30:28,-33.9258,18.4232,73.81,61,0,7.0
81,Hilo,US,2022-01-29 15:30:58,19.7297,-155.09,67.8,75,75,6.91
82,Lavrentiya,RU,2022-01-29 15:30:59,65.5833,-171.0,-5.67,86,5,4.97
83,Abalak,RU,2022-01-29 15:30:59,58.1286,68.5944,9.39,96,100,5.37
84,Lasa,IT,2022-01-29 15:31:00,46.6166,10.7002,52.68,79,34,8.23
85,Hay River,CA,2022-01-29 15:30:05,60.8156,-115.7999,-2.22,78,100,4.61
86,Dikson,RU,2022-01-29 15:31:00,73.5069,80.5464,2.39,93,98,21.32
87,Coquimbo,CL,2022-01-29 15:31:01,-29.9533,-71.3436,69.53,64,75,13.8
88,Esperance,AU,2022-01-29 15:32:01,-33.8667,121.9,66.04,73,1,17.81
89,Sitka,US,2022-01-29 15:32:02,57.0531,-135.33,42.69,75,100,18.41
90,Hasaki,JP,2022-01-29 15:32:03,35.7333,140.8333,36.28,89,99,20.96
91,Dalnerechensk,RU,2022-01-29 15:32:03,45.9339,133.7225,-13.83,97,34,4.18
92,Longyan,CN,2022-01-29 15:32:03,25.1072,117.0225,51.82,90,100,3.22
93,Freeport,US,2022-01-29 15:27:07,40.6576,-73.5832,22.57,76,100,8.01
94,East London,ZA,2022-01-29 15:32:04,-33.0153,27.9116,74.34,68,40,16.11
95,Nome,US,2022-01-29 15:32:05,64.5011,-165.4064,-9.33,59,0,4.61
96,Elizabeth City,US,2022-01-29 15:32:05,36.2946,-76.2511,32.05,89,100,20.71
97,Jamestown,US,2022-01-29 15:32:06,42.097,-79.2353,12.02,54,20,4.0
98,Sidi Ali,DZ,2022-01-29 15:32:06,36.0998,0.4206,58.95,41,0,11.5
99,Ribeira Grande,PT,2022-01-29 15:32:06,38.5167,-28.7,64.8,55,20,6.91
100,Cockburn Town,TC,2022-01-29 15:32:07,21.4612,-71.1419,80.56,69,40,9.22
101,Lagoa,PT,2022-01-29 15:28:09,39.05,-27.9833,58.48,74,5,11.61
102,Norman Wells,CA,2022-01-29 15:28:06,65.282,-126.8329,-27.36,68,75,4.61
103,Ivanivka,UA,2022-01-29 15:32:08,46.7208,34.553,32.54,80,100,12.62
104,Hithadhoo,MV,2022-01-29 15:32:08,-0.6,73.0833,81.39,68,100,5.17
105,Manono,CD,2022-01-29 15:32:08,-7.3,27.4167,74.19,89,87,1.74
106,Grand Gaube,MU,2022-01-29 15:32:09,-20.0064,57.6608,82.8,75,3,5.01
107,Longyearbyen,SJ,2022-01-29 15:32:10,78.2186,15.6401,10.24,61,20,17.27
108,Carnarvon,AU,2022-01-29 15:32:10,-24.8667,113.6333,77.07,88,0,8.05
109,Acurenam,GQ,2022-01-29 15:32:10,1.0322,10.6488,86.14,46,99,5.1
110,Arraial Do Cabo,BR,2022-01-29 15:32:11,-22.9661,-42.0278,89.56,66,40,9.22
111,Kodiak,US,2022-01-29 15:32:11,57.79,-152.4072,27.91,69,100,21.85
112,Bengkulu,ID,2022-01-29 15:32:12,-3.8004,102.2655,77.07,88,100,3.83
113,Terrace,CA,2022-01-29 15:32:12,54.5163,-128.6035,37.31,100,100,12.66
114,Qaanaaq,GL,2022-01-29 15:32:13,77.484,-69.3632,-8.14,58,76,9.26
115,Mount Gambier,AU,2022-01-29 15:31:37,-37.8333,140.7667,62.51,77,26,10.36
116,Pimenteiras,BR,2022-01-29 15:32:13,-6.2453,-41.4192,81.97,58,100,4.16
117,Klaksvik,FO,2022-01-29 15:32:14,62.2266,-6.589,36.52,65,74,46.57
118,Yumen,CN,2022-01-29 15:32:14,40.2833,97.2,18.61,51,0,3.44
119,Butaritari,KI,2022-01-29 15:32:14,3.0707,172.7902,81.61,79,69,18.68
120,Saldanha,ZA,2022-01-29 15:31:46,-33.0117,17.9442,87.85,73,2,24.05
121,Awjilah,LY,2022-01-29 15:32:15,29.1081,21.2869,58.24,38,5,14.14
122,Narsaq,GL,2022-01-29 15:32:16,60.9167,-46.05,21.42,92,100,11.68
123,Tepatlaxco,MX,2022-01-29 15:32:16,19.0669,-96.8442,60.73,89,100,3.0
124,Isangel,VU,2022-01-29 15:30:40,-19.55,169.2667,78.91,94,100,6.91
125,Iqaluit,CA,2022-01-29 15:30:12,63.7506,-68.5145,-13.27,69,100,10.0
126,Bambous Virieux,MU,2022-01-29 15:27:25,-20.3428,57.7575,82.65,78,40,9.22
127,Chokurdakh,RU,2022-01-29 15:30:01,70.6333,147.9167,-10.62,83,100,3.85
128,Teguise,ES,2022-01-29 15:32:17,29.0605,-13.564,62.82,55,0,16.11
129,Nizhnevartovsk,RU,2022-01-29 15:32:18,60.9344,76.5531,-4.99,84,20,2.24
130,Gat,IL,2022-01-29 15:32:18,31.61,34.7642,55.4,100,29,2.48
131,Kingaroy,AU,2022-01-29 15:32:19,-26.5333,151.8333,68.04,94,75,6.91
132,Bathsheba,BB,2022-01-29 15:32:19,13.2167,-59.5167,83.01,77,40,19.57
133,Saskylakh,RU,2022-01-29 15:30:32,71.9167,114.0833,-19.86,100,100,3.74
134,Lompoc,US,2022-01-29 15:32:20,34.6391,-120.4579,64.09,49,0,4.61
135,Inhambane,MZ,2022-01-29 15:33:20,-23.865,35.3833,84.18,79,20,8.05
136,Oda,JP,2022-01-29 15:33:20,35.1833,132.5,40.82,59,100,6.35
137,Praia Da Vitoria,PT,2022-01-29 15:33:21,38.7333,-27.0667,63.75,77,75,11.48
138,Japura,ID,2022-01-29 15:33:21,-0.3167,102.35,77.92,85,100,2.68
139,Chimoio,MZ,2022-01-29 15:33:22,-19.1164,33.4833,78.66,83,75,6.91
140,Kapaa,US,2022-01-29 15:33:22,22.0752,-159.319,73.72,90,100,13.8
141,Bereda,ES,2022-01-29 15:33:23,43.2686,-7.5406,57.88,92,1,3.71
142,Talnakh,RU,2022-01-29 15:33:23,69.4865,88.3972,-2.79,96,100,9.64
143,Atar,MR,2022-01-29 15:33:24,20.5169,-13.0499,88.5,11,99,12.19
144,Yellowknife,CA,2022-01-29 15:29:34,62.456,-114.3525,-8.45,92,100,5.75
145,Puerto Ayora,EC,2022-01-29 15:33:24,-0.7393,-90.3518,78.76,77,86,9.33
146,Richards Bay,ZA,2022-01-29 15:30:18,-28.783,32.0377,76.28,77,32,7.78
147,Meulaboh,ID,2022-01-29 15:33:25,4.1363,96.1285,78.4,87,91,1.01
148,Davenda,RU,2022-01-29 15:33:25,53.5556,119.317,-10.53,97,5,4.61
149,Shakawe,BW,2022-01-29 15:33:26,-18.3667,21.85,68.11,90,100,5.97
150,Rio Grande,BR,2022-01-29 15:32:23,-32.035,-52.0986,78.94,48,51,13.62
151,Kutum,SD,2022-01-29 15:33:26,14.2,24.6667,66.49,11,6,10.67
152,Ilulissat,GL,2022-01-29 15:33:27,69.2167,-51.1,10.42,79,75,4.61
153,Qandala,SO,2022-01-29 15:33:27,11.472,49.8728,75.49,65,97,8.12
154,Tezu,IN,2022-01-29 15:33:27,27.9167,96.1667,53.56,51,7,4.25
155,Natal,BR,2022-01-29 15:33:28,-5.795,-35.2094,84.85,69,20,4.61
156,Hobyo,SO,2022-01-29 15:31:10,5.3505,48.5268,77.88,72,99,21.88
