City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
213,213,Macenta,GN,2022-02-01 20:33:51,8.5435,-9.471,72.79,20,100,2.91,overcast clouds
218,218,Namikupa,TZ,2022-02-01 20:33:54,-10.8333,39.6,71.4,98,100,2.08,light rain
219,219,Iberia,US,2022-02-01 20:33:54,29.9502,-91.7507,71.98,68,100,18.41,moderate rain
224,224,Bengkulu,ID,2022-02-01 20:34:56,-3.8004,102.2655,73.81,85,100,5.91,overcast clouds
227,227,Guerrero Negro,MX,2022-02-01 20:34:57,27.9769,-114.0611,64.42,57,100,12.44,overcast clouds
239,239,Luangwa,ZM,2022-02-01 20:35:01,-15.6167,30.4167,72.25,94,5,1.7,clear sky
240,240,Coihaique,CL,2022-02-01 20:31:26,-45.5752,-72.0662,68.61,37,75,10.36,broken clouds
244,244,Masvingo,ZW,2022-02-01 20:33:19,-20.0637,30.8277,70.97,63,93,4.52,overcast clouds
246,246,Guiratinga,BR,2022-02-01 20:35:04,-16.3494,-53.7583,75.25,89,80,4.76,broken clouds
247,247,Ikwiriri,TZ,2022-02-01 20:35:04,-7.9562,38.9716,73.76,96,2,2.17,light rain
248,248,Bukama,CD,2022-02-01 20:35:05,-9.2,25.85,69.96,96,96,0.98,overcast clouds
251,251,Kruisfontein,ZA,2022-02-01 20:32:32,-34.0033,24.7314,74.88,68,100,4.94,overcast clouds
257,257,Brownsville,US,2022-02-01 20:35:08,25.9018,-97.4975,71.89,77,40,8.05,scattered clouds
259,259,Arlit,NE,2022-02-01 20:35:09,18.7369,7.3853,64.71,11,3,8.14,clear sky
266,266,Esperance,AU,2022-02-01 20:35:12,-33.8667,121.9,58.84,69,44,13.73,scattered clouds
267,267,Cockburn Town,TC,2022-02-01 20:35:12,21.4612,-71.1419,75.22,76,3,20.36,clear sky
269,269,Tunduma,TZ,2022-02-01 20:35:13,-9.3,32.7667,59.4,99,100,3.56,light rain
271,271,Airai,TL,2022-02-01 20:36:14,-8.9266,125.4092,59.23,83,80,2.98,broken clouds
284,284,Sa Kaeo,TH,2022-02-01 20:36:19,13.75,102.3333,75.15,84,25,5.17,scattered clouds
285,285,Namibe,AO,2022-02-01 20:32:23,-15.1961,12.1522,73.13,70,24,11.59,few clouds
290,290,Kibala,TD,2022-02-01 20:36:21,9.1104,18.3463,75.15,31,0,0.0,clear sky
295,295,East London,ZA,2022-02-01 20:36:23,-33.0153,27.9116,75.81,87,100,6.08,overcast clouds
296,296,Dingle,PH,2022-02-01 20:36:23,10.9995,122.6711,73.27,94,81,7.67,broken clouds
303,303,Meulaboh,ID,2022-02-01 20:36:26,4.1363,96.1285,75.2,88,91,4.16,overcast clouds
313,313,Kaoma,ZM,2022-02-01 20:36:30,-14.7833,24.8,63.86,93,46,1.1,scattered clouds
322,322,Laguna,US,2022-02-01 20:33:11,38.421,-121.4238,62.44,30,0,11.99,clear sky
324,324,Carnarvon,AU,2022-02-01 20:37:34,-24.8667,113.6333,75.27,83,100,16.11,overcast clouds
327,327,Kapit,MY,2022-02-01 20:37:35,2.0167,112.9333,71.69,99,92,0.96,overcast clouds
328,328,Rwamagana,RW,2022-02-01 20:37:36,-1.9487,30.4347,65.64,90,100,0.96,overcast clouds
331,331,Huarmey,PE,2022-02-01 20:37:37,-10.0681,-78.1522,75.04,72,100,10.09,overcast clouds
332,332,Buluang,PH,2022-02-01 20:37:37,13.3068,123.3425,74.79,91,100,4.65,overcast clouds
333,333,Jega,NG,2022-02-01 20:37:38,12.2175,4.3792,68.99,14,0,10.2,clear sky
334,334,Cam Ranh,VN,2022-02-01 20:37:38,11.9214,109.1591,73.36,83,20,5.75,few clouds
336,336,Kharan,PK,2022-02-01 20:37:39,28.5833,65.4167,60.22,22,0,2.13,clear sky
337,337,Misratah,LY,2022-02-01 20:37:39,32.3754,15.0925,55.8,55,52,30.76,broken clouds
340,340,Ponta Do Sol,PT,2022-02-01 20:37:41,32.6667,-17.1,67.01,72,48,11.81,scattered clouds
348,348,Callaway,US,2022-02-01 20:37:44,30.153,-85.5699,70.18,42,0,8.01,clear sky
351,351,Kisangani,CD,2022-02-01 20:37:14,0.5167,25.2,72.81,69,99,2.59,overcast clouds
354,354,Nouadhibou,MR,2022-02-01 20:37:46,20.931,-17.0347,73.38,56,91,10.36,overcast clouds
357,357,Ouesso,CG,2022-02-01 20:37:48,1.6136,16.0517,74.19,30,56,1.72,broken clouds
358,358,Vila Do Maio,CV,2022-02-01 20:37:48,15.1333,-23.2167,75.99,80,100,8.59,overcast clouds
363,363,Wagar,SD,2022-02-01 20:38:50,16.1525,36.2032,69.22,57,0,14.07,clear sky
364,364,Awallan,PH,2022-02-01 20:38:51,17.9244,121.913,68.94,92,82,3.74,broken clouds
365,365,San Nicolas,PH,2022-02-01 20:38:51,18.1725,120.5953,72.19,79,15,5.37,few clouds
368,368,Lebu,CL,2022-02-01 20:38:52,-37.6167,-73.65,64.31,76,0,12.35,clear sky
370,370,Kamina,CD,2022-02-01 20:34:02,-8.7386,24.9906,64.63,95,93,1.07,overcast clouds
371,371,Taltal,CL,2022-02-01 20:38:53,-25.4,-70.4833,68.88,68,20,4.65,few clouds
381,381,Rio Gallegos,AR,2022-02-01 20:38:57,-51.6226,-69.2181,57.25,30,75,39.12,broken clouds
385,385,Faya,SA,2022-02-01 20:35:15,18.3851,42.4509,55.92,66,13,4.88,few clouds
392,392,Danielskuil,ZA,2022-02-01 20:39:02,-28.1887,23.5395,70.07,70,99,5.79,light rain
393,393,Dunedin,NZ,2022-02-01 20:39:02,-45.8742,170.5036,65.28,72,100,12.1,overcast clouds
395,395,Peniche,PT,2022-02-01 20:39:03,39.3558,-9.3811,57.74,74,0,4.21,clear sky
403,403,Waipawa,NZ,2022-02-01 20:39:06,-41.4122,175.5153,68.63,54,100,8.88,overcast clouds
406,406,El Dorado,US,2022-02-01 20:40:07,38.7666,-120.5177,55.42,21,0,1.99,clear sky
407,407,Takaka,NZ,2022-02-01 20:40:08,-40.85,172.8,69.98,96,100,7.52,overcast clouds
408,408,Davidson,US,2022-02-01 20:40:08,36.1501,-86.7833,66.49,32,40,11.99,scattered clouds
411,411,Gayeri,BF,2022-02-01 20:40:09,12.6497,0.4931,70.65,8,50,9.31,scattered clouds
412,412,Tessalit,ML,2022-02-01 20:40:10,20.1986,1.0114,68.65,16,100,12.06,overcast clouds
417,417,Yulara,AU,2022-02-01 20:40:12,-25.2406,130.9889,67.84,94,75,12.66,broken clouds
423,423,Rantepao,ID,2022-02-01 20:40:14,-2.9701,119.8978,67.01,93,100,1.81,moderate rain
424,424,Port Said,EG,2022-02-01 20:40:15,31.2565,32.2841,58.98,72,20,5.75,few clouds
426,426,Cayenne,GF,2022-02-01 20:36:47,4.9333,-52.3333,75.24,92,75,3.0,moderate rain
428,428,Bintulu,MY,2022-02-01 20:40:16,3.1667,113.0333,75.61,94,20,1.01,few clouds
431,431,Pacific Grove,US,2022-02-01 20:38:47,36.6177,-121.9166,61.11,39,0,8.99,clear sky
437,437,Vangaindrano,MG,2022-02-01 20:40:19,-23.35,47.6,73.53,85,4,5.57,light rain
438,438,Taki,IN,2022-02-01 20:40:20,22.5861,88.9214,64.35,59,2,4.43,clear sky
445,445,Merauke,ID,2022-02-01 20:40:23,-8.4667,140.3333,75.13,90,100,10.22,overcast clouds
446,446,Hambantota,LK,2022-02-01 20:40:23,6.1241,81.1185,72.45,82,1,13.09,clear sky
448,448,Rocha,UY,2022-02-01 20:40:24,-34.4833,-54.3333,72.12,54,0,8.97,clear sky
452,452,Itoman,JP,2022-02-01 20:41:26,26.1247,127.6694,62.62,92,100,12.66,mist
456,456,Gawler,AU,2022-02-01 20:41:28,-34.6,138.7333,60.48,67,9,8.46,clear sky
461,461,Eyl,SO,2022-02-01 20:41:29,7.9803,49.8164,75.6,82,100,16.6,overcast clouds
463,463,Talcahuano,CL,2022-02-01 20:41:30,-36.7167,-73.1167,67.68,60,0,11.5,clear sky
465,465,Mecca,SA,2022-02-01 20:40:59,21.4267,39.8261,67.82,42,3,4.41,clear sky
466,466,Manono,CD,2022-02-01 20:41:31,-7.3,27.4167,69.42,94,100,2.13,overcast clouds
473,473,Adwa,ET,2022-02-01 20:41:34,14.1646,38.8955,61.41,72,27,3.85,scattered clouds
474,474,Marawi,PH,2022-02-01 20:39:20,7.9986,124.2928,63.64,94,100,1.3,overcast clouds
475,475,Asosa,ET,2022-02-01 20:41:35,10.0667,34.5333,64.54,29,72,4.29,broken clouds
479,479,Kovur,IN,2022-02-01 20:41:36,14.4833,79.9833,68.49,76,6,4.61,heavy intensity rain
481,481,Sanchi,IN,2022-02-01 20:41:37,23.4833,77.7333,58.51,61,0,1.63,clear sky
483,483,Panguna,PG,2022-02-01 20:41:38,-6.3164,155.4848,72.19,91,91,1.28,overcast clouds
484,484,Ancud,CL,2022-02-01 20:41:38,-41.8697,-73.8203,66.22,81,100,8.57,overcast clouds
485,485,Santa Cruz De Tenerife,ES,2022-02-01 20:39:28,28.4682,-16.2546,73.8,72,20,1.99,few clouds
486,486,Zhuhai,CN,2022-02-01 20:38:22,22.2769,113.5678,60.98,94,40,13.8,scattered clouds
493,493,Bud,US,2022-02-01 20:41:41,39.447,-86.1758,62.55,67,99,13.65,overcast clouds
497,497,Yala,TH,2022-02-01 20:42:43,6.3333,101.25,69.58,98,46,2.35,scattered clouds
503,503,Palu,ID,2022-02-01 20:42:45,-0.8917,119.8707,73.72,90,100,3.76,overcast clouds
504,504,Sokoto,NG,2022-02-01 20:42:45,13.0609,5.239,67.69,14,6,9.69,clear sky
506,506,Tanauan,PH,2022-02-01 20:42:46,14.0863,121.1498,74.21,85,43,7.29,scattered clouds
511,511,Miraflores,MX,2022-02-01 20:42:48,19.2167,-98.8083,73.02,24,0,2.66,clear sky
515,515,Ulladulla,AU,2022-02-01 20:42:50,-35.35,150.4667,68.77,89,100,11.83,light rain
521,521,Dhuburi,IN,2022-02-01 20:42:53,26.0333,89.9667,56.79,85,55,10.74,broken clouds
522,522,Kaeo,NZ,2022-02-01 20:42:53,-35.1,173.7833,73.33,85,100,13.2,overcast clouds
523,523,Hargeysa,SO,2022-02-01 20:42:54,9.56,44.065,59.09,96,98,12.39,overcast clouds
530,530,Coromandel,BR,2022-02-01 20:42:57,-18.4733,-47.2003,71.42,90,97,3.94,overcast clouds
539,539,Nelson Bay,AU,2022-02-01 20:44:01,-32.7167,152.15,73.96,93,100,1.01,overcast clouds
540,540,Suez,EG,2022-02-01 20:44:01,29.9737,32.5263,56.23,57,0,4.94,clear sky
541,541,Tanout,NE,2022-02-01 20:44:01,14.9709,8.8879,58.84,15,1,9.17,clear sky
544,544,Lebowakgomo,ZA,2022-02-01 20:44:03,-24.2,29.5,68.9,75,0,5.1,clear sky
545,545,Pecos,US,2022-02-01 20:44:03,31.4229,-103.4932,71.69,13,0,16.11,clear sky
549,549,Sibolga,ID,2022-02-01 20:44:05,1.7427,98.7792,73.58,95,100,0.27,overcast clouds
550,550,Lakes Entrance,AU,2022-02-01 20:44:05,-37.8811,147.981,59.58,68,20,14.18,few clouds
552,552,Daru,PG,2022-02-01 20:44:06,-9.0763,143.2092,74.88,92,100,10.45,overcast clouds
558,558,Dakoro,NE,2022-02-01 20:44:09,14.5106,6.765,61.93,13,1,8.99,clear sky
560,560,Lundazi,ZM,2022-02-01 20:44:09,-12.2929,33.1782,64.09,94,15,6.38,few clouds
564,564,Dwarka,IN,2022-02-01 20:44:11,22.2394,68.9678,71.2,75,1,7.4,clear sky
565,565,Oudtshoorn,ZA,2022-02-01 20:44:11,-33.5907,22.2014,66.56,63,40,2.08,light rain
572,572,Ilo,PE,2022-02-01 20:39:32,-17.6394,-71.3375,72.45,73,99,9.19,overcast clouds
577,577,Clarence Town,AU,2022-02-01 20:44:16,-32.5833,151.7833,75.27,90,100,4.76,overcast clouds
580,580,Makanya,TZ,2022-02-01 20:44:17,-4.3667,37.8333,70.75,81,61,1.3,broken clouds
593,593,Tuatapere,NZ,2022-02-01 20:45:22,-46.1333,167.6833,72.82,77,97,7.45,overcast clouds
596,596,Bandar,ID,2022-02-01 20:45:24,2.05,99.75,71.29,97,100,2.37,overcast clouds
599,599,Aswan,EG,2022-02-01 20:45:25,24.0934,32.907,60.1,38,0,5.75,clear sky
600,600,Ambilobe,MG,2022-02-01 20:45:25,-13.2,49.05,73.65,96,100,1.63,moderate rain
603,603,Catuday,PH,2022-02-01 20:45:26,16.2923,119.8062,74.75,74,4,13.42,clear sky
607,607,Kutum,SD,2022-02-01 20:45:28,14.2,24.6667,58.69,22,5,6.64,clear sky
611,611,Blythe,US,2022-02-01 20:45:30,33.6103,-114.5964,69.03,14,0,0.0,clear sky
