City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Tahta,EG,2022-02-01 20:29:52,26.7693,31.5021,57.31,44,0,1.95,clear sky
60,Cotonou,BJ,2022-02-01 20:27:19,6.3654,2.4183,82.38,65,27,6.91,dust
61,Broome,US,2022-02-01 20:29:53,42.2506,-75.833,37.22,50,0,10.0,clear sky
62,Norman Wells,CA,2022-02-01 20:29:53,65.282,-126.8329,-9.36,70,75,2.3,broken clouds
63,Ahipara,NZ,2022-02-01 20:29:54,-35.1667,173.1667,70.48,83,100,15.64,overcast clouds
64,Primorsk,UA,2022-02-01 20:29:54,46.7348,36.3443,39.22,86,100,11.23,overcast clouds
65,Barcelona,ES,2022-02-01 20:27:31,41.3888,2.159,57.33,54,0,5.01,clear sky
66,San Lucas Toliman,GT,2022-02-01 20:29:54,14.6333,-91.1333,73.13,60,56,5.88,broken clouds
67,Oskarshamn,SE,2022-02-01 20:29:55,57.2645,16.4484,30.79,81,100,6.44,overcast clouds
68,Inirida,CO,2022-02-01 20:29:55,3.8653,-67.9239,98.08,27,26,2.19,scattered clouds
69,Avera,US,2022-02-01 20:29:56,33.194,-82.5271,64.74,46,0,10.22,clear sky
70,Kapaa,US,2022-02-01 20:29:56,22.0752,-159.319,76.98,70,40,3.0,scattered clouds
71,Baturaja,ID,2022-02-01 20:29:56,-4.1333,104.1667,72.61,99,100,2.39,overcast clouds
72,Tungor,RU,2022-02-01 20:29:57,53.3808,142.9564,1.8,92,98,21.0,overcast clouds
73,Pueblo,US,2022-02-01 20:28:15,38.2545,-104.6091,43.56,40,0,1.01,clear sky
74,Muros,ES,2022-02-01 20:27:04,42.7762,-9.0603,56.08,68,0,13.33,clear sky
75,Huilong,CN,2022-02-01 20:29:58,31.8111,121.655,42.04,76,100,7.78,overcast clouds
76,Zhangye,CN,2022-02-01 20:29:58,38.9342,100.4517,18.95,30,73,3.71,broken clouds
77,Blackwater,AU,2022-02-01 20:29:58,-23.5833,148.8833,77.18,71,100,6.04,overcast clouds
78,Vao,NC,2022-02-01 20:29:59,-22.6667,167.4833,77.58,82,18,14.74,few clouds
79,Coquimbo,CL,2022-02-01 20:26:13,-29.9533,-71.3436,71.33,60,0,12.66,clear sky
80,Barrow,US,2022-02-01 20:30:00,71.2906,-156.7887,-16.58,69,0,8.05,clear sky
81,Kodiak,US,2022-02-01 20:25:54,57.79,-152.4072,38.71,93,100,9.22,mist
82,Constitucion,CL,2022-02-01 20:27:13,-35.3333,-72.4167,67.37,63,5,7.47,clear sky
83,Los Llanos De Aridane,ES,2022-02-01 20:30:01,28.6585,-17.9182,60.55,72,75,2.3,broken clouds
84,Constantine,DZ,2022-02-01 20:30:01,36.365,6.6147,44.01,65,75,20.71,broken clouds
85,Caravelas,BR,2022-02-01 20:30:02,-17.7125,-39.2481,80.01,82,63,8.16,broken clouds
86,Punta Arenas,CL,2022-02-01 20:29:30,-53.15,-70.9167,53.62,50,40,42.57,scattered clouds
87,Vesele,UA,2022-02-01 20:31:03,47.0148,34.915,34.21,92,100,6.8,overcast clouds
88,Jumla,NP,2022-02-01 20:31:04,29.2747,82.1838,32.02,42,0,4.59,clear sky
89,Xai-Xai,MZ,2022-02-01 20:31:04,-25.0519,33.6442,75.27,84,1,7.0,clear sky
90,Sorland,NO,2022-02-01 20:26:13,67.667,12.6934,28.47,56,100,21.25,overcast clouds
91,Evensk,RU,2022-02-01 20:31:05,61.95,159.2333,19.67,81,100,28.59,overcast clouds
92,Chara,RU,2022-02-01 20:31:06,56.9064,118.2631,-21.64,88,53,1.23,broken clouds
93,Kotli Loharan,PK,2022-02-01 20:31:06,32.5883,74.4932,51.69,82,9,0.0,smoke
94,Sao Filipe,CV,2022-02-01 20:31:06,14.8961,-24.4956,74.73,75,84,2.42,broken clouds
95,Touho,NC,2022-02-01 20:31:07,-20.7833,165.2333,79.43,76,18,4.41,few clouds
96,Hanmer Springs,NZ,2022-02-01 20:31:07,-42.5167,172.8167,68.65,71,100,7.7,heavy intensity rain
97,Lompoc,US,2022-02-01 20:31:08,34.6391,-120.4579,67.69,30,0,14.97,clear sky
98,Arroyo,ES,2022-02-01 20:31:08,41.6096,-4.7969,43.72,78,0,14.97,clear sky
